alg,puzzle_size,f%,instance_id,instance_path,ants,subcolonies,q0,rho,bve,safreq,saAccept,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm
2,25x25,40,9,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.94355,0.61305,36.26,1,99
2,25x25,40,10,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.66143,0.57114,24.79,1,99
2,25x25,40,30,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.07173,0.95715,38.22,3,97
2,25x25,40,50,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.65908,1.30227,54.42,11,89
2,25x25,40,57,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.14883,0.80063,39.25,4,96
2,25x25,40,62,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.70978,1.62636,56.44,9,91
2,25x25,40,79,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.12811,0.82635,34.31,1,99
2,25x25,40,80,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.74322,0.46345,22.61,0,100
2,25x25,40,89,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.85057,0.58657,27.91,0,100
2,25x25,40,99,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.30958,1.27119,36.85,3,97
2,25x25,45,1,,10,4,0.9,0.9,0.005,50,0,120.0,80.0,9.62153,15.84559,300.46,57,23
2,25x25,45,2,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,4.24372,9.60238,148.79,28,72
2,25x25,45,3,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,3.52514,4.0828,104.89,29,70
2,25x25,45,4,,10,4,0.9,0.9,0.005,50,0,120.0,97.0,3.71207,8.18776,116.9,32,65
2,25x25,45,6,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,2.81343,3.25175,96.43,32,67
2,25x25,45,7,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.26005,10.10131,97.32,16,84
2,25x25,45,8,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.53904,2.32089,46.55,10,90
2,25x25,45,11,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.87564,2.30457,68.99,15,85
2,25x25,45,14,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.80478,1.08887,28.46,3,97
2,25x25,45,15,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,5.38696,8.42684,139.43,43,57
2,25x25,45,16,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.9495,5.14828,74.08,20,80
2,25x25,45,17,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.92909,1.86055,53.1,9,91
2,25x25,45,18,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.2548,1.30084,36.33,6,94
2,25x25,45,19,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,4.98382,8.1025,136.92,41,58
2,25x25,45,21,,10,4,0.9,0.9,0.005,50,0,120.0,97.0,6.3805,10.96805,166.11,45,52
2,25x25,45,23,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.29328,2.78182,63.04,14,86
2,25x25,45,24,,10,4,0.9,0.9,0.005,50,0,120.0,85.0,19.14317,26.01347,443.09,67,18
2,25x25,45,26,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.84902,3.38332,107.17,34,66
2,25x25,45,29,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.93845,2.30353,73.79,16,84
2,25x25,45,32,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.06462,0.8943,43.43,4,96
2,25x25,45,33,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.76279,2.00806,71.26,19,81
2,25x25,45,34,,10,4,0.9,0.9,0.005,50,0,120.0,84.0,5.72994,12.9301,214.94,38,46
2,25x25,45,35,,10,4,0.9,0.9,0.005,50,0,120.0,86.0,11.22403,19.7175,386.99,59,27
2,25x25,45,36,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,4.11575,6.00549,140.89,40,59
2,25x25,45,37,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.91287,5.49763,102.76,29,71
2,25x25,45,40,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.8076,1.12749,31.96,4,96
2,25x25,45,41,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.11772,8.03006,109.79,30,70
2,25x25,45,43,,10,4,0.9,0.9,0.005,50,0,120.0,79.0,11.99193,20.96079,403.76,54,25
2,25x25,45,46,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.21859,1.29015,40.49,4,96
2,25x25,45,51,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,1.39925,1.53953,49.33,10,89
2,25x25,45,52,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,0.8223,0.70886,33.12,1,99
2,25x25,45,54,,10,4,0.9,0.9,0.005,50,0,120.0,97.0,3.54403,7.22999,114.77,25,72
2,25x25,45,56,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.97655,3.04871,70.95,16,84
2,25x25,45,57,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,4.75796,8.45954,152.62,45,54
2,25x25,45,58,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,5.06071,6.23372,125.28,45,55
2,25x25,45,59,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.26056,2.20127,58.92,14,86
2,25x25,45,62,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.52587,10.98574,92.62,15,85
2,25x25,45,63,,10,4,0.9,0.9,0.005,50,0,120.0,71.0,19.03465,27.00666,407.58,50,21
2,25x25,45,64,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,3.44969,4.76477,86.39,21,79
2,25x25,45,65,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,5.20916,14.44687,122.93,23,77
2,25x25,45,67,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.81168,2.64041,71.13,19,81
2,25x25,45,69,,10,4,0.9,0.9,0.005,50,0,120.0,95.0,5.69748,13.06106,140.18,30,65
2,25x25,45,71,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.2345,1.96857,47.46,9,91
2,25x25,45,72,,10,4,0.9,0.9,0.005,50,0,120.0,99.0,6.43086,7.59836,125.36,39,60
2,25x25,45,73,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.83802,4.65786,44.38,4,96
2,25x25,45,75,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,2.22517,2.26845,56.32,16,84
2,25x25,45,76,,10,4,0.9,0.9,0.005,50,0,120.0,100.0,1.19873,0.9416,33.82,2,98
2,25x25,45,77,,10,4,0.9,0.9,0.005,50,0,120.0,85.0,14.07179,21.44252,322.66,57,28
